Gene,Drug,Interaction Type,Directionality,Source,PMID,Interaction Score
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=MMP7"" target=""_blank"">MMP7</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=RS%2039066"" target=""_blank"">RS 39066</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",7.457685508412219
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=MMP7"" target=""_blank"">MMP7</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=SL422"" target=""_blank"">SL422</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",1.242947584735369
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=MMP7"" target=""_blank"">MMP7</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=DOXYCYCLINE%20ANHYDROUS"" target=""_blank"">DOXYCYCLINE ANHYDROUS</a>",inhibitor,INHIBITORY,ChEMBL,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.6484943920358451
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=MMP7"" target=""_blank"">MMP7</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=MARIMASTAT"" target=""_blank"">MARIMASTAT</a>",inhibitor,INHIBITORY,TTD,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",1.491537101682444
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=MMP7"" target=""_blank"">MMP7</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=ILOMASTAT"" target=""_blank"">ILOMASTAT</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.2983074203364887
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=MMP7"" target=""_blank"">MMP7</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=DOXYCYCLINE%20CALCIUM"" target=""_blank"">DOXYCYCLINE CALCIUM</a>",inhibitor,INHIBITORY,ChEMBL,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",1.864421377103054
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=MMP7"" target=""_blank"">MMP7</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=PRINOMASTAT"" target=""_blank"">PRINOMASTAT</a>",N/A,N/A,TTD,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",1.065383644058888
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=COL7A1"" target=""_blank"">COL7A1</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=CRISABOROLE"" target=""_blank"">CRISABOROLE</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",1.864421377103054
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=COL7A1"" target=""_blank"">COL7A1</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=CALMODULIN"" target=""_blank"">CALMODULIN</a>",activator,ACTIVATING,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",2.610189927944276
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=COL7A1"" target=""_blank"">COL7A1</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=VINPOCETINE"" target=""_blank"">VINPOCETINE</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",2.610189927944276
