Gene,Drug,Interaction Type,Directionality,Source,PMID,Interaction Score
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=FMOD"" target=""_blank"">FMOD</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=%26BETA%3B-SECRETASE%20INHIBITOR%20IV"" target=""_blank"">&BETA;-SECRETASE INHIBITOR IV</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9667370103497321
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=FMOD"" target=""_blank"">FMOD</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=RO5508887"" target=""_blank"">RO5508887</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9667370103497321
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=FMOD"" target=""_blank"">FMOD</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=ATABECESTAT"" target=""_blank"">ATABECESTAT</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",1.450105515524598
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=FMOD"" target=""_blank"">FMOD</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=NB-360"" target=""_blank"">NB-360</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",1.450105515524598
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=FMOD"" target=""_blank"">FMOD</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=COMPOUND%20J%20%5BPMID%3A%2021907142%5D"" target=""_blank"">COMPOUND J [PMID: 21907142]</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",1.450105515524598
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=FMOD"" target=""_blank"">FMOD</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=EXAMPLE%2041%20%5BWO2012028563%5D"" target=""_blank"">EXAMPLE 41 [WO2012028563]</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",2.900211031049196
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=FMOD"" target=""_blank"">FMOD</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=COMPOUND%203L%20%5BPMID%3A%2030637955%5D"" target=""_blank"">COMPOUND 3L [PMID: 30637955]</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",1.450105515524598
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=FMOD"" target=""_blank"">FMOD</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=HYDROXYETHYLAMINE%20TRANSITION-STATE%20INHIBITOR%201"" target=""_blank"">HYDROXYETHYLAMINE TRANSITION-STATE INHIBITOR 1</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",2.900211031049196
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=FMOD"" target=""_blank"">FMOD</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=UMIBECESTAT"" target=""_blank"">UMIBECESTAT</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",1.450105515524598
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=FMOD"" target=""_blank"">FMOD</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=AM-6494"" target=""_blank"">AM-6494</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",1.450105515524598
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=FMOD"" target=""_blank"">FMOD</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=EXAMPLE%2098%20%5BWO2011020806%5D"" target=""_blank"">EXAMPLE 98 [WO2011020806]</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",2.900211031049196
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=FMOD"" target=""_blank"">FMOD</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=VERUBECESTAT"" target=""_blank"">VERUBECESTAT</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",0.9667370103497321
"<a href=""https://dgidb.org/results?searchType=gene&searchTerms=FMOD"" target=""_blank"">FMOD</a>","<a href=""https://dgidb.org/results?searchType=drug&searchTerms=EXAMPLE%202%20%5BWO2013004676%5D"" target=""_blank"">EXAMPLE 2 [WO2013004676]</a>",inhibitor,INHIBITORY,GuideToPharmacology,"<a href=""https://pubmed.ncbi.nlm.nih.gov/N/A/"" target=""_blank"">N/A</a>",1.450105515524598
