Ensembl ID,Gene,log_2 fold change
ENSG00000279263,OR2L8,2.1
ENSG00000197125,OR8B8,2.1
ENSG00000153230,OR14K1,1.9
ENSG00000166368,OR2D2,1.9
ENSG00000181733,OR2Z1,1.8
ENSG00000197532,OR6Y1,1.7
ENSG00000205497,OR51A4,1.7
ENSG00000148136,OR13C4,1.7
ENSG00000176290,OR4K3,1.7
ENSG00000204701,OR2J3,1.6
ENSG00000168124,OR1F1,1.6
ENSG00000176893,OR51G2,1.6
ENSG00000172324,OR5A2,1.6
ENSG00000196248,OR10S1,1.6
ENSG00000141194,OR4D1,1.5
ENSG00000175398,OR10P1,1.5
ENSG00000176200,OR4D11,1.5
ENSG00000180090,OR3A1,1.5
ENSG00000176742,OR51V1,1.5
ENSG00000205495,OR52J3,1.5
ENSG00000221836,OR2A5,1.5
