Gene,Gene Name,log_2 fold change,Biotype,Tractability,Drug,Interaction Type,PMID,Interaction Score,Pathways
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000004799"" target=""_blank"">ENSG00000004799</a>",PDK4,1.7,protein_coding,Approved Drug Structure with Ligand High-Quality Ligand High-Quality Pocket Database Ubiquitination Small Molecule Binder,DEVIMISTAT; SODIUM DICHLOROACETATE; VER-246608,N/A; inhibitor,,3.6252637888114947,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000005156"" target=""_blank"">ENSG00000005156</a>",LIG3,1.8,protein_coding,Structure with Ligand High-Quality Pocket Database Ubiquitination Half-life Data Small Molecule Binder,CARBOPLATIN; PACLITAXEL,N/A,36988399,0.5408004501871864,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000008952"" target=""_blank"">ENSG00000008952</a>",SEC62,1.5,protein_coding,UniProt SigP or TMHMM Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000010438"" target=""_blank"">ENSG00000010438</a>",PRSS3,1.6,protein_coding,Structure with Ligand High-Quality Ligand Druggable Family UniProt loc high conf GO CC high conf UniProt SigP or TMHMM Database Ubiquitination Small Molecule Binder,BORTEZOMIB; CYANOPEPTOLIN S; CYANOPEPTOLIN SS,N/A,20875739,4.003428560507126,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000013573"" target=""_blank"">ENSG00000013573</a>",DDX11,3.0,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000014123"" target=""_blank"">ENSG00000014123</a>",UFL1,1.7,protein_coding,UniProt Ubiquitination Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000019102"" target=""_blank"">ENSG00000019102</a>",VSIG2,1.7,protein_coding,GO CC high conf UniProt SigP or TMHMM,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000019505"" target=""_blank"">ENSG00000019505</a>",SYT13,1.5,protein_coding,High-Quality Pocket UniProt SigP or TMHMM GO CC med conf,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000030066"" target=""_blank"">ENSG00000030066</a>",NUP160,1.6,protein_coding,Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000033178"" target=""_blank"">ENSG00000033178</a>",UBA6,2.1,protein_coding,Structure with Ligand High-Quality Ligand Druggable Family Database Ubiquitination Half-life Data Small Molecule Binder,TRIPTORELIN ACETATE,agonist,,52.20379855888553,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000047188"" target=""_blank"">ENSG00000047188</a>",YTHDC2,1.5,protein_coding,Med-Quality Pocket Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000052723"" target=""_blank"">ENSG00000052723</a>",SIKE1,1.7,protein_coding,Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000052802"" target=""_blank"">ENSG00000052802</a>",MSMO1,1.5,protein_coding,GO CC high conf UniProt SigP or TMHMM UniProt Ubiquitination Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000064313"" target=""_blank"">ENSG00000064313</a>",TAF2,1.6,protein_coding,Structure with Ligand Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000064787"" target=""_blank"">ENSG00000064787</a>",BCAS1,2.0,protein_coding,Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000064933"" target=""_blank"">ENSG00000064933</a>",PMS1,1.8,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000065518"" target=""_blank"">ENSG00000065518</a>",NDUFB4,1.6,protein_coding,Approved Drug Structure with Ligand UniProt SigP or TMHMM Database Ubiquitination Half-life Data,ME-344; METFORMIN HYDROCHLORIDE; NV-128,inhibitor,,0.3333211725600798,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000066557"" target=""_blank"">ENSG00000066557</a>",LRRC40,1.7,protein_coding,Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000066654"" target=""_blank"">ENSG00000066654</a>",THUMPD1,1.5,protein_coding,Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000068650"" target=""_blank"">ENSG00000068650</a>",ATP11A,1.6,protein_coding,UniProt loc high conf GO CC high conf UniProt SigP or TMHMM Database Ubiquitination Half-life Data,,,,,
