Gene,Gene Name,log_2 fold change
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000146648"" target=""_blank"">ENSG00000146648</a>",EGFR,8.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000188785"" target=""_blank"">ENSG00000188785</a>",ZNF548,5.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000232128"" target=""_blank"">ENSG00000232128</a>",MTCO3P45,4.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000184786"" target=""_blank"">ENSG00000184786</a>",DYNLT2,4.699999999999999
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000235408"" target=""_blank"">ENSG00000235408</a>",SNORA71B,4.4
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000204397"" target=""_blank"">ENSG00000204397</a>",CARD16,4.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000134186"" target=""_blank"">ENSG00000134186</a>",PRPF38B,4.3
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000138061"" target=""_blank"">ENSG00000138061</a>",CYP1B1,4.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000123219"" target=""_blank"">ENSG00000123219</a>",CENPK,3.8000000000000003
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000189144"" target=""_blank"">ENSG00000189144</a>",ZNF573,3.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166046"" target=""_blank"">ENSG00000166046</a>",TCP11L2,3.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000132164"" target=""_blank"">ENSG00000132164</a>",SLC6A11,3.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000102218"" target=""_blank"">ENSG00000102218</a>",RP2,3.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163564"" target=""_blank"">ENSG00000163564</a>",PYHIN1,3.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000176731"" target=""_blank"">ENSG00000176731</a>",RBIS,3.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000139687"" target=""_blank"">ENSG00000139687</a>",RB1,3.8
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000121552"" target=""_blank"">ENSG00000121552</a>",CSTA,3.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000225016"" target=""_blank"">ENSG00000225016</a>",LINC00328-2P,3.7
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000124813"" target=""_blank"">ENSG00000124813</a>",RUNX2,3.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000155304"" target=""_blank"">ENSG00000155304</a>",HSPA13,3.6
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000119888"" target=""_blank"">ENSG00000119888</a>",EPCAM,3.6
